Days,Death,Recovered,Infectious
271,1169536,40455506,374095
272,1176182,40843546,388040
273,1183043,41282438,438892
274,1188935,41763920,481482
275,1196038,42257348,493428
276,1201905,42713969,456621
277,1206166,43073400,359431
278,1211783,43556538,483138
279,1219261,44023247,466709
280,1226448,44543105,519858
281,1233650,45093094,549989
282,1241338,45664185,571091
283,1247955,46136861,472676
284,1253096,46575742,438881
285,1259196,47121979,546237
286,1268766,47685357,563378
287,1278846,48175693,490336
288,1287526,48793076,617383
289,1296672,49414188,621112
290,1304447,50013221,599033
291,1310549,50504375,491154
292,1317814,51011611,507236
293,1327668,51579809,568198
294,1338235,52202597,622788
295,1348039,52841944,639347
296,1357871,53503636,661692
297,1367008,54091755,588119
298,1373637,54583184,491429
299,1381422,55106169,522985
300,1392498,55705777,599608
301,1403946,56326595,620818
302,1415108,56980914,654319
303,1426856,57655528,674614
304,1436009,58250314,594786
305,1443550,58749746,499432
306,1451906,59280981,531235
307,1464497,59870361,589380
308,1476678,60486401,616040
309,1487680,61080000,593599
310,1499196,61774774,694774
311,1508652,62383076,608302
312,1516008,62879375,496299
313,1524770,63382334,502959
314,1537411,63995522,613188
315,1550058,64634914,639392
316,1562733,65326307,691393
317,1575167,66022901,696594
318,1585758,66667338,644437
319,1593637,67212473,545135
320,1602124,67746537,534064
321,1614282,68376761,630224
322,1627147,69042382,665621
323,1639653,70538957,1496575
324,1652813,71246707,707750
325,1663709,71897178,650471
326,1671730,72436923,539745
327,1680618,72987541,550618
328,1693960,73635255,647714
329,1708057,74353458,718203
330,1721262,75093132,739674
331,1734242,75816077,722945
332,1745575,76452409,636332
333,1753771,77000736,548327
334,1762868,77546387,545651
335,1776801,78197993,651606
336,1790731,78880764,682771
337,1802958,79575516,694752
338,1811924,80095887,520371
339,1819390,80602468,506581
340,1827176,81015442,412974
341,1836325,81513294,497852
342,1851094,82184302,671008
343,1866794,82909149,724847
344,1880474,83750039,840890
345,1890473,84338032,587993
346,1898954,84919139,581107
347,1906621,85439658,520519
348,1916064,85995868,556210
349,1931426,86737476,741608
350,1946434,87528435,790959
351,1961516,88399573,871138
352,1977046,89236191,836618
353,1990414,89993686,757495
354,1999375,90596121,602435
355,2008961,91210056,613935
356,2025903,91901990,691934
357,2042646,92645920,743930
358,2058258,93405627,759707
359,2073904,94190146,784519
360,2087824,94847726,657580
361,2096952,95375726,528000
362,2106610,95892512,516786
363,2122441,96485169,592657
364,2140593,97172087,686918
365,2157874,97841367,669280
366,2173966,98505266,663899
367,2188592,99082816,577550
368,2197727,99545146,462330
369,2208173,100026243,481097
370,2225975,100587349,561106
371,2243398,101188605,601256
